Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,male,master's,senior business analyst,6.0,90000.0
23.0,female,bachelor's,junior marketing analyst,0.5,35000.0
31.0,male,master's,senior financial analyst,6.0,95000.0
40.0,female,bachelor's,office manager,15.0,65000.0
48.0,male,phd,principal engineer,20.0,170000.0
29.0,female,bachelor's,junior hr generalist,3.0,45000.0
35.0,male,master's,senior product manager,10.0,120000.0
42.0,female,bachelor's,sales manager,17.0,100000.0
53.0,male,master's,director of marketing,25.0,180000.0
33.0,female,bachelor's,junior operations analyst,5.0,50000.0
38.0,male,bachelor's,customer service manager,11.0,80000.0
44.0,female,phd,senior scientist,16.0,140000.0
26.0,male,bachelor's,junior accountant,2.0,40000.0
37.0,female,master's,senior hr generalist,9.0,95000.0
45.0,male,bachelor's,sales operations manager,18.0,110000.0
32.0,female,bachelor's,marketing coordinator,4.0,50000.0
34.0,male,master's,senior software developer,8.0,105000.0
50.0,female,master's,director of operations,21.0,160000.0
29.0,male,bachelor's,junior web designer,3.0,45000.0
40.0,female,master's,senior training specialist,12.0,100000.0
47.0,male,phd,senior research scientist,22.0,160000.0
27.0,male,bachelor's,junior sales representative,1.0,35000.0
39.0,female,bachelor's,administrative assistant,10.0,55000.0
46.0,male,master's,senior project manager,19.0,140000.0
30.0,female,bachelor's,junior marketing manager,4.0,50000.0
36.0,male,bachelor's,junior data analyst,7.0,60000.0
43.0,female,master's,senior product marketing manager,14.0,120000.0
28.0,male,bachelor's,junior business analyst,2.0,40000.0
41.0,female,master's,senior marketing manager,13.0,110000.0
33.0,male,bachelor's,junior software developer,5.0,50000.0
47.0,male,bachelor's,senior sales manager,20.0,135000.0
25.0,female,master's,junior marketing specialist,1.5,40000.0
34.0,male,bachelor's,senior business analyst,8.0,90000.0
42.0,female,phd,senior data scientist,16.0,150000.0
31.0,male,bachelor's,junior project manager,4.0,60000.0
38.0,female,bachelor's,senior accountant,10.0,80000.0
45.0,male,master's,director of sales,19.0,175000.0
29.0,female,bachelor's,junior recruiter,3.0,45000.0
36.0,male,master's,senior business development manager,11.0,120000.0
43.0,female,phd,senior product designer,18.0,140000.0
26.0,male,bachelor's,junior customer support specialist,2.0,35000.0
37.0,female,master's,senior marketing analyst,9.0,95000.0
44.0,male,bachelor's,senior it support specialist,14.0,110000.0
32.0,female,bachelor's,junior financial analyst,5.0,50000.0
33.0,male,master's,senior operations manager,7.0,115000.0
51.0,female,phd,director of human resources,23.0,185000.0
28.0,male,bachelor's,junior software engineer,2.0,40000.0
39.0,female,bachelor's,senior sales representative,12.0,90000.0
48.0,male,master's,director of product management,21.0,175000.0
30.0,female,bachelor's,junior copywriter,3.0,45000.0
35.0,male,bachelor's,senior marketing coordinator,7.0,80000.0
41.0,female,master's,senior human resources manager,13.0,120000.0
27.0,male,bachelor's,junior business development associate,1.5,35000.0
40.0,female,bachelor's,senior account manager,14.0,110000.0
46.0,male,phd,senior researcher,18.0,150000.0
31.0,female,bachelor's,junior hr coordinator,4.0,50000.0
34.0,male,master's,senior software engineer,9.0,105000.0
50.0,female,master's,director of finance,20.0,180000.0
29.0,male,bachelor's,junior marketing coordinator,2.0,40000.0
,nan,nan,nan,,
43.0,male,bachelor's,senior project manager,16.0,140000.0
26.0,female,master's,junior data scientist,1.5,45000.0
35.0,male,bachelor's,senior operations analyst,7.0,85000.0
42.0,female,phd,senior marketing manager,18.0,140000.0
31.0,male,bachelor's,junior accountant,4.0,50000.0
38.0,female,bachelor's,senior human resources coordinator,10.0,80000.0
46.0,male,master's,director of operations,20.0,170000.0
29.0,female,bachelor's,junior sales representative,2.0,40000.0
37.0,male,master's,senior business analyst,9.0,105000.0
44.0,female,phd,senior ux designer,15.0,145000.0
27.0,male,bachelor's,junior product manager,2.0,40000.0
36.0,female,bachelor's,senior marketing specialist,8.0,85000.0
43.0,male,bachelor's,senior it project manager,14.0,130000.0
33.0,female,master's,senior financial analyst,6.0,95000.0
34.0,male,bachelor's,senior quality assurance analyst,9.0,100000.0
50.0,female,phd,director of sales and marketing,22.0,180000.0
28.0,male,bachelor's,junior operations analyst,1.5,35000.0
39.0,female,bachelor's,senior account executive,12.0,95000.0
47.0,male,master's,director of business development,19.0,170000.0
30.0,female,bachelor's,junior social media manager,3.0,45000.0
34.0,male,bachelor's,senior product manager,7.0,95000.0
40.0,female,master's,senior human resources specialist,13.0,120000.0
41.0,female,bachelor's,senior marketing coordinator,11.0,90000.0
45.0,male,phd,senior data analyst,17.0,155000.0
32.0,female,bachelor's,junior account manager,5.0,55000.0
35.0,male,master's,senior software developer,9.0,110000.0
49.0,female,master's,director of human capital,21.0,180000.0
30.0,male,bachelor's,junior advertising coordinator,3.0,45000.0
44.0,male,bachelor's,senior sales manager,16.0,130000.0
27.0,female,master's,junior ux designer,1.5,45000.0
36.0,male,bachelor's,senior accountant,7.0,90000.0
41.0,female,phd,senior marketing director,17.0,160000.0
31.0,male,bachelor's,junior hr generalist,4.0,50000.0
39.0,female,bachelor's,senior operations manager,10.0,120000.0
47.0,male,master's,director of finance,20.0,170000.0
30.0,female,bachelor's,junior marketing coordinator,2.0,40000.0
38.0,male,master's,senior it consultant,9.0,110000.0
45.0,female,phd,senior product designer,15.0,150000.0
28.0,male,bachelor's,junior business development associate,2.0,40000.0
35.0,female,bachelor's,senior marketing analyst,8.0,85000.0
44.0,male,bachelor's,senior software engineer,14.0,130000.0
34.0,female,master's,senior financial advisor,6.0,100000.0
35.0,male,bachelor's,senior project coordinator,9.0,95000.0
50.0,female,phd,director of operations,22.0,180000.0
29.0,male,bachelor's,junior business operations analyst,1.5,35000.0
40.0,female,bachelor's,senior sales representative,12.0,100000.0
48.0,male,master's,director of marketing,19.0,170000.0
31.0,female,bachelor's,junior social media specialist,3.0,45000.0
33.0,male,bachelor's,senior product development manager,7.0,100000.0
42.0,female,master's,senior human resources manager,13.0,140000.0
28.0,male,bachelor's,junior financial analyst,2.0,40000.0
40.0,female,bachelor's,senior marketing manager,11.0,105000.0
46.0,male,phd,senior data scientist,18.0,160000.0
33.0,female,bachelor's,junior operations manager,5.0,70000.0
37.0,male,master's,senior software architect,9.0,120000.0
51.0,female,master's,director of human resources,21.0,190000.0
30.0,male,bachelor's,junior marketing specialist,3.0,45000.0
43.0,male,bachelor's,senior project manager,15.0,120000.0
27.0,female,master's,junior research scientist,1.5,50000.0
35.0,male,bachelor's,senior operations analyst,8.0,85000.0
42.0,female,phd,senior marketing manager,13.0,140000.0
32.0,male,bachelor's,junior sales representative,3.0,45000.0
37.0,female,bachelor's,senior financial analyst,9.0,100000.0
45.0,male,master's,senior software developer,16.0,140000.0
33.0,female,bachelor's,junior operations analyst,5.0,70000.0
39.0,male,bachelor's,senior marketing specialist,10.0,120000.0
44.0,female,phd,senior hr manager,18.0,160000.0
29.0,male,bachelor's,junior business analyst,1.5,40000.0
38.0,female,bachelor's,senior product manager,10.0,120000.0
46.0,male,phd,senior data analyst,19.0,150000.0
34.0,female,bachelor's,junior marketing analyst,6.0,70000.0
36.0,male,bachelor's,senior operations manager,8.0,95000.0
49.0,female,master's,director of marketing,21.0,180000.0
31.0,male,bachelor's,junior financial analyst,3.0,50000.0
41.0,female,bachelor's,senior project coordinator,11.0,95000.0
47.0,male,master's,director of operations,20.0,170000.0
29.0,male,bachelor's,junior business operations analyst,1.5,350.0
37.0,female,bachelor's,senior financial manager,10.0,120000.0
31.0,female,bachelor's,junior marketing coordinator,3.0,50000.0
42.0,male,bachelor's,senior operations manager,12.0,110000.0
29.0,female,bachelor's,junior sales representative,1.5,40000.0
36.0,male,bachelor's,senior marketing specialist,8.0,95000.0
44.0,female,master's,senior hr specialist,15.0,140000.0
33.0,male,bachelor's,junior operations manager,4.0,60000.0
39.0,female,bachelor's,senior marketing coordinator,9.0,110000.0
45.0,male,phd,senior data engineer,16.0,150000.0
32.0,female,bachelor's,junior marketing manager,4.0,60000.0
37.0,male,bachelor's,senior financial analyst,8.0,90000.0
47.0,female,master's,director of marketing,20.0,180000.0
30.0,male,bachelor's,junior business analyst,2.0,40000.0
38.0,female,bachelor's,senior project manager,9.0,120000.0
46.0,male,phd,senior data analyst,17.0,160000.0
34.0,female,bachelor's,junior financial analyst,5.0,70000.0
36.0,male,bachelor's,senior product manager,8.0,95000.0
49.0,female,master's,director of operations,21.0,180000.0
31.0,male,bachelor's,junior operations analyst,3.0,50000.0
47.0,male,master's,director of marketing,19.0,170000.0
29.0,female,bachelor's,junior business development associate,1.5,35000.0
35.0,male,bachelor's,senior financial manager,9.0,100000.0
44.0,female,phd,senior product designer,15.0,150000.0
33.0,male,bachelor's,junior business analyst,4.0,60000.0
44.0,male,bachelor's,senior software engineer,13.0,130000.0
32.0,male,bachelor's,junior product manager,4.0,65000.0
38.0,female,bachelor's,senior business analyst,10.0,110000.0
49.0,male,phd,director of operations,21.0,180000.0
29.0,female,bachelor's,junior marketing specialist,2.0,40000.0
35.0,male,bachelor's,senior business development manager,7.0,90000.0
45.0,female,master's,senior hr manager,14.0,140000.0
33.0,male,bachelor's,junior financial analyst,4.0,60000.0
40.0,female,bachelor's,senior marketing manager,12.0,130000.0
44.0,male,phd,senior data scientist,16.0,160000.0
30.0,female,bachelor's,junior operations coordinator,2.0,40000.0
37.0,male,bachelor's,senior marketing analyst,9.0,100000.0
48.0,female,master's,director of hr,20.0,180000.0
31.0,male,bachelor's,junior project manager,3.0,55000.0
38.0,female,bachelor's,senior operations coordinator,9.0,120000.0
33.0,female,bachelor's,junior marketing manager,5.0,70000.0
36.0,male,bachelor's,senior business analyst,8.0,95000.0
42.0,female,bachelor's,senior project manager,12.0,120000.0
34.0,female,master's,senior financial advisor,6.0,80000.0
30.0,female,bachelor's,junior hr coordinator,2.0,40000.0
37.0,male,bachelor's,senior business development manager,10.0,120000.0
45.0,female,master's,senior marketing manager,16.0,160000.0
32.0,male,bachelor's,junior financial advisor,4.0,65000.0
39.0,female,bachelor's,senior project manager,12.0,130000.0
47.0,male,phd,director of engineering,20.0,180000.0
29.0,female,bachelor's,junior marketing analyst,2.0,40000.0
36.0,male,bachelor's,senior operations manager,9.0,100000.0
43.0,female,phd,senior data scientist,15.0,150000.0
32.0,male,bachelor's,junior marketing coordinator,3.0,55000.0
48.0,male,master's,director of marketing,21.0,180000.0
31.0,female,bachelor's,junior business development associate,3.0,50000.0
40.0,male,bachelor's,senior financial analyst,12.0,130000.0
45.0,female,phd,senior ux designer,16.0,160000.0
33.0,male,bachelor's,junior product manager,4.0,60000.0
36.0,female,bachelor's,senior marketing manager,8.0,95000.0
47.0,male,master's,director of operations,19.0,170000.0
29.0,female,bachelor's,junior project manager,2.0,40000.0
34.0,male,bachelor's,senior operations coordinator,7.0,90000.0
44.0,female,phd,senior business analyst,15.0,150000.0
33.0,male,bachelor's,junior marketing specialist,5.0,70000.0
35.0,female,bachelor's,senior financial manager,8.0,90000.0
43.0,male,master's,director of marketing,18.0,170000.0
31.0,female,bachelor's,junior financial analyst,3.0,50000.0
41.0,male,bachelor's,senior product manager,14.0,150000.0
44.0,female,phd,senior data engineer,16.0,160000.0
45.0,male,master's,director of engineering,19.0,180000.0
28.0,female,bachelor's,junior operations manager,1.0,35000.0
36.0,male,bachelor's,senior business development manager,8.0,110000.0
44.0,female,phd,senior data scientist,16.0,160000.0
31.0,male,bachelor's,junior marketing coordinator,3.0,55000.0
43.0,male,master's,director of operations,19.0,170000.0
31.0,male,master's,data scientist,6.0,160000.0
28.0,female,bachelor's,software engineer,3.0,125000.0
26.0,male,master's,product manager,2.0,120000.0
27.0,female,bachelor's,data analyst,2.0,110000.0
30.0,male,phd,data scientist,5.0,180000.0
29.0,female,bachelor's,software engineer,4.0,140000.0
32.0,male,bachelor's,product manager,7.0,170000.0
25.0,female,master's,data analyst,1.0,100000.0
33.0,male,phd,data scientist,8.0,190000.0
31.0,female,bachelor's,software engineer,6.0,155000.0
28.0,male,master's,product manager,3.0,130000.0
30.0,female,bachelor's,data analyst,5.0,145000.0
27.0,male,phd,data scientist,2.0,115000.0
34.0,male,bachelor's,product manager,9.0,185000.0
28.0,male,bachelor's,software engineer,3.0,125000.0
26.0,female,master's,product manager,2.0,120000.0
27.0,male,bachelor's,data analyst,2.0,110000.0
30.0,female,phd,data scientist,5.0,180000.0
29.0,male,bachelor's,software engineer,4.0,140000.0
26.0,male,bachelor's,data analyst,3.0,130000.0
29.0,female,master's,data scientist,6.0,180000.0
32.0,male,bachelor's,software engineer,8.0,190000.0
27.0,female,bachelor's,product manager,4.0,150000.0
24.0,male,bachelor's,data analyst,1.0,90000.0
31.0,female,master's,data scientist,9.0,195000.0
28.0,male,bachelor's,software engineer,5.0,160000.0
33.0,female,master's,product manager,11.0,198000.0
25.0,male,bachelor's,data analyst,2.0,110000.0
30.0,female,phd,data scientist,7.0,185000.0
27.0,male,bachelor's,software engineer,4.0,140000.0
34.0,female,master's,product manager,12.0,196000.0
23.0,male,bachelor's,data analyst,1.0,95000.0
32.0,female,phd,data scientist,10.0,193000.0
29.0,male,bachelor's,software engineer,6.0,175000.0
30.0,female,bachelor's,product manager,5.0,160000.0
31.0,female,master's,data scientist,6.0,180000.0
31.0,male,bachelor's,data analyst,9.0,195000.0
28.0,female,bachelor's,software engineer,5.0,160000.0
33.0,male,master's,product manager,11.0,198000.0
26.0,female,bachelor's,data analyst,3.0,130000.0
30.0,male,phd,data scientist,7.0,185000.0
27.0,female,bachelor's,software engineer,4.0,140000.0
34.0,male,master's,product manager,12.0,196000.0
25.0,female,bachelor's,data analyst,2.0,110000.0
30.0,male,bachelor's,data analyst,5.0,160000.0
31.0,female,phd,data scientist,9.0,195000.0
25.0,male,bachelor's,data analyst,2.0,125000.0
28.0,female,master's,data scientist,6.0,175000.0
30.0,male,bachelor's,software engineer,8.0,190000.0
24.0,male,bachelor's,data analyst,1.0,95000.0
31.0,male,master's,data scientist,9.0,195000.0
23.0,male,bachelor's,data analyst,1.0,90000.0
29.0,male,bachelor's,software engineer,6.0,170000.0
26.0,male,bachelor's,data analyst,3.0,135000.0
25.0,male,bachelor's,data analyst,2.0,115000.0
27.0,female,master's,data scientist,4.0,150000.0
24.0,female,bachelor's,product manager,3.0,125000.0
31.0,male,master's,data scientist,7.0,180000.0
33.0,female,master's,product manager,10.0,195000.0
30.0,female,phd,data scientist,6.0,170000.0
34.0,female,master's,product manager,11.0,196000.0
23.0,male,bachelor's,data analyst,1.0,92000.0
32.0,female,phd,data scientist,9.0,195000.0
28.0,male,bachelor's,software engineer,5.0,165000.0
25.0,male,bachelor's,data analyst,3.0,135000.0
33.0,female,master's,product manager,11.0,196000.0
24.0,male,bachelor's,data analyst,1.0,92000.0
32.0,male,bachelor's degree,data analyst,5.0,135000.0
27.0,female,master's degree,data scientist,3.0,180000.0
40.0,male,bachelor's degree,software engineer,12.0,195000.0
35.0,female,bachelor's degree,product manager,8.0,165000.0
43.0,male,master's degree,data scientist,15.0,198000.0
29.0,female,bachelor's degree,software engineer,4.0,150000.0
36.0,male,bachelor's degree,data analyst,9.0,162000.0
31.0,male,master's degree,data scientist,6.0,175000.0
42.0,female,bachelor's degree,software engineer,13.0,197000.0
33.0,male,bachelor's degree,data analyst,7.0,142000.0
29.0,female,master's degree,data scientist,4.0,182000.0
41.0,male,bachelor's degree,software engineer,11.0,185000.0
35.0,female,bachelor's degree,product manager,8.0,170000.0
27.0,male,bachelor's,software engineer,4.0,160000.0
32.0,male,bachelor's,data scientist,8.0,180000.0
29.0,female,master's,data analyst,6.0,150000.0
30.0,male,bachelor's,data analyst,5.0,140000.0
24.0,male,bachelor's,data analyst,2.0,100000.0
33.0,female,master's,product manager,11.0,190000.0
26.0,male,bachelor's,data analyst,3.0,120000.0
30.0,female,phd,data scientist,7.0,170000.0
31.0,male,bachelor's,data analyst,9.0,190000.0
28.0,female,bachelor's,software engineer,5.0,150000.0
26.0,female,bachelor's,data analyst,3.0,120000.0
30.0,male,phd,data scientist,7.0,170000.0
27.0,female,bachelor's,product manager,4.0,130000.0
24.0,male,bachelor's,data analyst,2.0,95000.0
33.0,male,master's,product manager,11.0,195000.0
25.0,male,bachelor's,data analyst,2.0,100000.0
28.0,male,bachelor's,software engineer,5.0,150000.0
29.0,female,master's,data scientist,6.0,150000.0
33.0,female,master's,product manager,11.0,195000.0
31.0,female,master's,data scientist,6.0,170000.0
32.0,male,bachelor's,software engineer,8.0,180000.0
34.0,female,master's,product manager,12.0,190000.0
25.0,female,bachelor's,data analyst,2.0,100000.0
29.0,male,bachelor's,software engineer,7.0,180000.0
27.0,female,bachelor's,data analyst,5.0,120000.0
33.0,male,master's,data scientist,10.0,195000.0
28.0,male,bachelor's,software engineer,4.0,160000.0
26.0,female,bachelor's,data analyst,3.0,100000.0
31.0,male,bachelor's,product manager,8.0,190000.0
30.0,male,master's,software engineer,6.0,170000.0
32.0,female,bachelor's,data scientist,9.0,185000.0
29.0,male,bachelor's,data analyst,7.0,130000.0
35.0,female,bachelor's,product manager,12.0,190000.0
27.0,male,bachelor's,software engineer,5.0,150000.0
28.0,female,master's,data scientist,6.0,150000.0
37.0,male,phd,product manager,14.0,195000.0
26.0,male,bachelor's,data analyst,3.0,110000.0
30.0,female,bachelor's,software engineer,8.0,180000.0
31.0,male,master's,data scientist,9.0,185000.0
29.0,female,bachelor's,data analyst,7.0,130000.0
32.0,male,bachelor's,software engineer,10.0,190000.0
28.0,female,master's,data scientist,6.0,155000.0
34.0,male,bachelor's,software engineer,12.0,195000.0
25.0,female,bachelor's,data analyst,2.0,90000.0
30.0,male,bachelor's,product manager,8.0,185000.0
29.0,female,bachelor's,data analyst,6.0,120000.0
31.0,male,bachelor's,software engineer,9.0,180000.0
27.0,female,bachelor's,data analyst,5.0,125000.0
28.0,male,bachelor's degree,senior software engineer,7.0,175000.0
44.0,male,phd,software engineer manager,18.0,190000.0
33.0,female,master's degree,back end developer,5.0,110000.0
50.0,male,phd,senior project engineer,16.0,195000.0
27.0,female,master's degree,full stack engineer,3.0,100000.0
25.0,male,bachelor's degree,front end developer,1.0,60000.0
35.0,male,master's degree,senior software engineer,8.0,155000.0
47.0,female,phd,full stack engineer,12.0,175000.0
46.0,female,master's degree,senior project engineer,13.0,180000.0
32.0,male,bachelor's degree,back end developer,4.0,95000.0
61.0,male,phd,software engineer manager,20.0,200000.0
41.0,male,master's degree,senior software engineer,11.0,165000.0
37.0,male,master's degree,senior project engineer,9.0,145000.0
53.0,male,phd,software engineer manager,19.0,195000.0
30.0,female,bachelor's degree,front end developer,2.0,75000.0
26.0,female,master's degree,back end developer,3.0,90000.0
37.0,female,master's degree,senior software engineer,9.0,155000.0
32.0,male,bachelor's degree,full stack engineer,5.0,115000.0
44.0,female,master's degree,senior software engineer,12.0,170000.0
50.0,female,phd,software engineer manager,16.0,190000.0
27.0,male,bachelor's degree,senior project engineer,4.0,115000.0
42.0,male,phd,full stack engineer,14.0,180000.0
57.0,male,phd,software engineer manager,18.0,195000.0
35.0,male,master's degree,senior software engineer,7.0,140000.0
62.0,male,phd,software engineer manager,19.0,200000.0
26.0,female,master's degree,back end developer,2.0,70000.0
42.0,female,master's degree,senior project engineer,11.0,170000.0
41.0,female,phd,software engineer manager,14.0,185000.0
36.0,female,master's degree,full stack engineer,8.0,140000.0
49.0,male,phd,software engineer manager,15.0,185000.0
49.0,male,phd,senior project engineer,15.0,185000.0
47.0,male,phd,software engineer manager,15.0,180000.0
47.0,male,phd,senior software engineer,14.0,175000.0
26.0,male,bachelor's degree,front end developer,2.0,70000.0
24.0,female,bachelor's degree,back end developer,1.0,60000.0
62.0,male,phd,software engineer manager,20.0,200000.0
42.0,male,phd,senior software engineer,14.0,170000.0
41.0,female,master's degree,senior project engineer,11.0,165000.0
23.0,male,bachelor's degree,full stack engineer,1.0,55000.0
55.0,male,phd,software engineer manager,17.0,190000.0
33.0,female,bachelor's degree,front end developer,5.0,105000.0
31.0,male,master's degree,full stack engineer,6.0,130000.0
50.0,female,phd,software engineer manager,16.0,185000.0
24.0,female,master's degree,back end developer,1.0,60000.0
56.0,male,phd,software engineer manager,17.0,195000.0
24.0,male,bachelor's degree,front end developer,1.0,60000.0
37.0,male,master's degree,senior software engineer,8.0,150000.0
43.0,female,phd,senior project engineer,13.0,180000.0
34.0,male,master's degree,back end developer,6.0,125000.0
45.0,male,phd,software engineer manager,15.0,185000.0
29.0,male,bachelor's degree,full stack engineer,3.0,90000.0
29.0,male,bachelor's degree,front end developer,3.0,80000.0
29.0,female,bachelor's degree,back end developer,3.0,85000.0
48.0,male,phd,senior project engineer,16.0,190000.0
43.0,female,master's degree,software engineer manager,11.0,160000.0
54.0,male,phd,software engineer manager,17.0,195000.0
60.0,male,phd,software engineer manager,18.0,195000.0
54.0,female,phd,software engineer manager,14.0,190000.0
27.0,female,master's degree,full stack engineer,3.0,95000.0
23.0,male,bachelor's degree,back end developer,1.0,55000.0
45.0,male,phd,senior software engineer,13.0,185000.0
32.0,female,master's degree,full stack engineer,5.0,120000.0
57.0,male,phd,software engineer manager,16.0,195000.0
47.0,male,phd,software engineer manager,14.0,175000.0
25.0,female,master's degree,back end developer,2.0,75000.0
58.0,male,phd,software engineer manager,17.0,200000.0
41.0,female,master's degree,senior software engineer,12.0,160000.0
41.0,male,phd,software engineer manager,12.0,175000.0
47.0,male,phd,senior software engineer,15.0,180000.0
32.0,male,bachelor's degree,full stack engineer,5.0,120000.0
45.0,male,phd,senior project engineer,14.0,185000.0
53.0,male,phd,software engineer manager,18.0,195000.0
47.0,female,phd,senior software engineer,14.0,170000.0
23.0,male,bachelor's degree,front end developer,1.0,55000.0
33.0,male,master's degree,back end developer,6.0,130000.0
42.0,male,phd,software engineer manager,14.0,180000.0
37.0,male,master's degree,senior software engineer,9.0,145000.0
44.0,female,master's degree,senior project engineer,12.0,170000.0
38.0,female,master's degree,back end developer,10.0,155000.0
34.0,male,master's degree,full stack engineer,6.0,125000.0
46.0,female,phd,software engineer manager,14.0,180000.0
30.0,male,bachelor's degree,back end developer,4.0,95000.0
44.0,female,master's degree,senior software engineer,11.0,170000.0
